belongs_to_collection,release_date,title,vote_average
"{'id': 10194, 'name': 'Toy Story Collection', 'poster_path': '/7G9915LfUQ2lVfwMEEhDsn3kT4B.jpg', 'backdrop_path': '/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg'}",10/30/1995,Toy Story,7.7
,12/15/1995,Jumanji,6.9
"{'id': 119050, 'name': 'Grumpy Old Men Collection', 'poster_path': '/nLvUdqgPgm3F85NMCii9gVFUcet.jpg', 'backdrop_path': '/hypTnLot2z8wpFS7qwsQHW1uV8u.jpg'}",12/22/1995,Grumpier Old Men,6.5
,12/22/1995,Waiting to Exhale,6.1
"{'id': 96871, 'name': 'Father of the Bride Collection', 'poster_path': '/nts4iOmNnq7GNicycMJ9pSAn204.jpg', 'backdrop_path': '/7qwE57OVZmMJChBpLEbJEmzUydk.jpg'}",2/10/1995,Father of the Bride Part II,5.7
,12/15/1995,Heat,7.7
,12/15/1995,Sabrina,6.2
,12/22/1995,Tom and Huck,5.4
,12/22/1995,Sudden Death,5.5
"{'id': 645, 'name': 'James Bond Collection', 'poster_path': '/HORpg5CSkmeQlAolx3bKMrKgfi.jpg', 'backdrop_path': '/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg'}",11/16/1995,GoldenEye,6.6
,11/17/1995,The American President,6.5
,12/22/1995,Dracula: Dead and Loving It,5.7
"{'id': 117693, 'name': 'Balto Collection', 'poster_path': '/w0ZgH6Lgxt2bQYnf1ss74UvYftm.jpg', 'backdrop_path': '/9VM5LiJV0bGb1st1KyHA3cVnO2G.jpg'}",12/22/1995,Balto,7.1
,12/22/1995,Nixon,7.1
,12/22/1995,Cutthroat Island,5.7
,11/22/1995,Casino,7.8
,12/13/1995,Sense and Sensibility,7.2
,12/9/1995,Four Rooms,6.5
"{'id': 3167, 'name': 'Ace Ventura Collection', 'poster_path': '/qCxH543pScFed1CycwJ1nVgrkOc.jpg', 'backdrop_path': '/bswWgdDsLu0fhWMYUzLF8XgiK4h.jpg'}",11/10/1995,Ace Ventura: When Nature Calls,6.1
,11/21/1995,Money Train,5.4
"{'id': 91698, 'name': 'Chili Palmer Collection', 'poster_path': '/ae3smJDdWrMJ77tDpYOrpo4frKq.jpg', 'backdrop_path': '/uWaANGQeoSs5vSP1CWtlkDrkqei.jpg'}",10/20/1995,Get Shorty,6.4
,10/27/1995,Copycat,6.5
,10/6/1995,Assassins,6
,10/27/1995,Powder,6.3
,10/27/1995,Leaving Las Vegas,7.1
,12/15/1995,Othello,7
,10/20/1995,Now and Then,6.6
,9/27/1995,Persuasion,7.4
,5/16/1995,The City of Lost Children,7.6
,4/30/1995,Shanghai Triad,6.5
,8/11/1995,Dangerous Minds,6.4
,12/29/1995,Twelve Monkeys,7.4
,9/18/1996,Wings of Courage,6.8
"{'id': 9435, 'name': 'Babe Collection', 'poster_path': '/jgnah0k4AumfcZE4HHMJywYHvG6.jpg', 'backdrop_path': '/zRWuGdIlkWqXMQcs1t3sPy1XQ6x.jpg'}",7/18/1995,Babe,6
,11/8/1995,Carrington,6.4
,12/29/1995,Dead Man Walking,7.3
,10/20/1995,Across the Sea of Time,3.5
,11/17/1995,It Takes Two,6.1
,7/19/1995,Clueless,6.9
,12/15/1995,"Cry, the Beloved Country",6.7
,12/29/1995,Richard III,6.9
,10/6/1995,Dead Presidents,6.6
,12/29/1995,Restoration,6.3
"{'id': 9818, 'name': 'Mortal Kombat Collection', 'poster_path': '/nauCllomdtyciLCRcVrSJKcJQbn.jpg', 'backdrop_path': '/qD3efz57VGNywAN4lTvgz3FHnBb.jpg'}",8/18/1995,Mortal Kombat,5.4
,5/20/1995,To Die For,6.7
,10/6/1995,How To Make An American Quilt,6.5
,9/22/1995,Se7en,8.1
"{'id': 136214, 'name': 'Pocahontas Collection', 'poster_path': '/s4RkDe4AjwyrlltdF6Ui7INlME6.jpg', 'backdrop_path': '/qqeOxNmtAW7WXdbrmQftgluvve7.jpg'}",6/14/1995,Pocahontas,6.7
,5/5/1995,When Night Is Falling,5.9
,7/19/1995,The Usual Suspects,8.1
,11/22/1994,Guardian Angel,6.3
,9/13/1995,Mighty Aphrodite,6.7
,1/1/1994,Lamerica,7.7
,9/29/1995,The Big Green,5.2
,5/19/1995,Georgia,6.1
,7/8/1997,Kids of the Round Table,3
,11/2/1995,Home for the Holidays,6.3
,9/22/1994,The Postman,7.6
,9/29/1995,The Confessional,6.5
,7/14/1995,The Indian in the Cupboard,5.9
,1/12/1996,Eye for an Eye,5.8
,12/29/1995,Mr. Holland's Opus,6.9
,1/12/1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2
,1/12/1996,Two If by Sea,4.5
,1/12/1996,Bio-Dome,4.4
"{'id': 124935, 'name': 'The Lawnmower Man Collection', 'poster_path': '/slBKrKBbL1g3KURphhAYIyOOH0G.jpg', 'backdrop_path': '/id05z92s8Pwc2wbR9YAKngGqOyP.jpg'}",1/12/1996,Lawnmower Man 2: Beyond Cyberspace,2.8
,10/22/1995,Two Bits,5.4
,2/8/1995,French Twist,6
"{'id': 43563, 'name': 'Friday Collection', 'poster_path': '/dWh1Fohgx07AEd4vRUwgIj8BYxD.jpg', 'backdrop_path': '/pXszT8ZWGj3fohU9FY0niA0IDEw.jpg'}",4/26/1995,Friday,7
"{'id': 10924, 'name': 'From Dusk Till Dawn Collection', 'poster_path': '/a156nAy5ZTGXlO5wgfvnF26aaDB.jpg', 'backdrop_path': '/oIJQPVy33uxBAu9LMXwjsgHLyxP.jpg'}",1/19/1996,From Dusk Till Dawn,6.9
,11/3/1995,Fair Game,4.1
